siteid,sitename,date,t1,t2,t3,t4,h3,h4,f1,f2
GUA046,EL MAESTRO,2020-08-30T06:17:51Z,1.8,23.1,22.6,19.7,37.1,43.6,21.46,21.62
GUA046,EL MAESTRO,2020-08-30T06:21:54Z,6.9,25.6,23.5,21,44.7,53,33.32,33.08
GUA046,EL MAESTRO,2020-08-30T06:25:55Z,12.6,25.4,23.6,21.3,39.5,46.3,21.59,29.52
GUA046,EL MAESTRO,2020-08-30T06:29:55Z,3.8,24.3,22.8,20,39.8,46.4,21.59,21.58
GUA046,EL MAESTRO,2020-08-30T06:33:51Z,8.9,25.8,23.7,21.3,39.8,44.2,21.49,21.6
GUA046,EL MAESTRO,2020-08-30T06:37:54Z,2.9,23.5,22.7,19.9,39.6,46.3,21.58,21.62
GUA046,EL MAESTRO,2020-08-30T06:41:55Z,8.1,25.8,23.7,21.2,44.5,49.2,33.06,33.16
GUA046,EL MAESTRO,2020-08-30T06:45:54Z,4.3,24,23.2,20.7,40.3,47.5,21.63,29.62
GUA046,EL MAESTRO,2020-08-30T06:49:55Z,6.4,25.2,23.4,20.7,46.5,55.2,33.27,41.18
GUA046,EL MAESTRO,2020-08-30T06:53:55Z,14.3,25.3,23.6,21.2,41.1,48,21.73,21.82
GUA046,EL MAESTRO,2020-08-30T06:57:53Z,4.2,24.1,22.8,19.9,41.3,48.3,21.77,21.82
GUA046,EL MAESTRO,2020-08-30T07:01:49Z,10.3,25.7,23.7,21.2,40.7,47,21.67,21.78
GUA046,EL MAESTRO,2020-08-30T07:05:53Z,4.1,24,22.8,19.9,41.2,48.5,31.71,40.28
GUA046,EL MAESTRO,2020-08-30T07:10:04Z,11.2,25.6,23.7,21.2,40.3,46.7,21.66,29.48
GUA046,EL MAESTRO,2020-08-30T07:13:58Z,4.1,24.1,22.9,20,40.8,49,58.5,31.61
GUA046,EL MAESTRO,2020-08-30T07:18:03Z,12.1,25.4,23.7,21.1,40.3,45.9,21.74,21.89
GUA046,EL MAESTRO,2020-08-30T07:22:02Z,3.7,23.6,22.7,19.7,40.5,47.5,34.06,33.58
GUA046,EL MAESTRO,2020-08-30T07:26:09Z,10.4,25.7,23.7,21.2,39,46.1,21.82,21.93
GUA046,EL MAESTRO,2020-08-30T07:30:06Z,5.2,24.8,23.1,20.3,41.2,46.8,34.66,41.61
GUA046,EL MAESTRO,2020-08-30T07:34:02Z,4.6,24.3,23.4,20.7,38.6,45.7,22.03,29.72
GUA046,EL MAESTRO,2020-08-30T07:38:03Z,6.4,25.2,23.4,20.5,43.7,49.8,33.94,33.88
GUA046,EL MAESTRO,2020-08-30T07:42:03Z,5.6,24.3,23.5,20.8,39.3,46.9,22.16,21.92
GUA046,EL MAESTRO,2020-08-30T07:46:06Z,6,24.9,23.3,20.3,40.6,45.8,34.3,33.72
GUA046,EL MAESTRO,2020-08-30T07:50:19Z,4,23.7,23.3,20.4,38.5,45.8,22.67,22.62
GUA046,EL MAESTRO,2020-08-30T07:54:20Z,7.1,25.4,23.5,20.7,44.8,50.5,33.83,41.47
GUA046,EL MAESTRO,2020-08-30T07:58:19Z,5.3,24.2,23.4,20.7,39.8,47.5,21.76,21.81
GUA046,EL MAESTRO,2020-08-30T08:02:23Z,6.3,25,23.3,20.3,40.3,45.4,33.37,30.97
GUA046,EL MAESTRO,2020-08-30T08:06:23Z,3.7,23.3,23,20,38.8,46.3,33.15,33.24
GUA046,EL MAESTRO,2020-08-30T08:10:26Z,7.8,25.5,23.5,20.6,37.8,44.2,22.42,22.49
GUA046,EL MAESTRO,2020-08-30T08:14:28Z,4.1,24,22.9,19.9,39.8,46.8,33.84,41.7
GUA046,EL MAESTRO,2020-08-30T08:18:30Z,5.9,24.7,23.6,20.8,37.8,45.2,22.58,29.8
GUA046,EL MAESTRO,2020-08-30T08:22:31Z,6.6,25.2,23.4,20.4,37.8,43.2,22.21,22.1
GUA046,EL MAESTRO,2020-08-30T08:26:32Z,3.2,23.1,22.8,19.7,37.3,44.6,23.36,23.92
GUA046,EL MAESTRO,2020-08-30T08:30:29Z,8,25.5,23.6,20.7,41.5,47,34.08,35.07
GUA046,EL MAESTRO,2020-08-30T08:34:28Z,4.4,23.6,23.1,20.2,39,46.5,33.98,33.89
GUA046,EL MAESTRO,2020-08-30T08:38:36Z,8,25.5,23.5,20.6,37.7,43.5,22.1,30.14
GUA046,EL MAESTRO,2020-08-30T08:42:36Z,3.7,23.3,22.7,19.5,39.3,47.3,34.69,42.46
GUA046,EL MAESTRO,2020-08-30T08:46:40Z,7.1,24.8,23.6,20.7,37.7,45.4,22.39,22.8
GUA046,EL MAESTRO,2020-08-30T08:50:47Z,6.6,25,23.3,20.1,42,48,34.75,36.26
GUA046,EL MAESTRO,2020-08-30T08:54:52Z,5.3,24,23.4,20.4,39,46.6,24.46,22.2
GUA046,EL MAESTRO,2020-08-30T08:58:47Z,8.3,25.5,23.6,20.6,39.2,45,23.62,23.84
GUA046,EL MAESTRO,2020-08-30T09:02:50Z,4.1,23.2,22.9,19.6,38.4,46.6,34.71,34.42
GUA046,EL MAESTRO,2020-08-30T09:06:50Z,11.2,25.4,23.7,20.6,37.5,44,22.81,31.26
GUA046,EL MAESTRO,2020-08-30T09:10:52Z,4.5,23.7,22.8,19.5,40.1,46.7,34.91,35.08
GUA046,EL MAESTRO,2020-08-30T09:15:00Z,5.6,24.2,23.3,20.3,37.7,45.6,22.94,22.85
GUA046,EL MAESTRO,2020-08-30T09:19:07Z,7.3,25,23.4,20,42.5,48.5,34.24,34.25
GUA046,EL MAESTRO,2020-08-30T09:23:12Z,5.5,23.9,23.3,20.2,38.8,46.9,22.39,21.98
GUA046,EL MAESTRO,2020-08-30T09:27:09Z,7.4,25,23.4,20.1,38.5,44.5,33.94,34.59
GUA046,EL MAESTRO,2020-08-30T09:31:04Z,4.2,23.2,22.9,19.7,37.9,45.8,35.18,43.02
GUA046,EL MAESTRO,2020-08-30T09:35:11Z,11.1,25.3,23.6,20.5,37.9,44.8,22.67,30.25
GUA046,EL MAESTRO,2020-08-30T09:39:12Z,5.1,23.7,22.9,19.5,39.4,45.4,34.59,35.03
GUA046,EL MAESTRO,2020-08-30T09:43:10Z,4.9,23.7,23.2,20.1,37.8,45.7,35.2,36.43
GUA046,EL MAESTRO,2020-08-30T09:47:10Z,8.2,25.2,23.5,20.3,37.4,43.8,21.89,22.04
GUA046,EL MAESTRO,2020-08-30T09:51:07Z,4,22.8,22.8,19.3,39,47,36.06,34.31
GUA046,EL MAESTRO,2020-08-30T09:55:12Z,6.7,24.6,23.5,20.4,36.9,44.2,23.36,30.72
GUA046,EL MAESTRO,2020-08-30T09:59:17Z,5,23.6,22.8,19.2,38.9,44.9,34.92,42.31
GUA046,EL MAESTRO,2020-08-30T10:03:17Z,4.9,23.7,23.3,20,37.5,45.7,35.68,35.6
GUA046,EL MAESTRO,2020-08-30T10:07:11Z,10.5,25.1,23.6,20.4,37.6,44.2,22.68,22.38
GUA046,EL MAESTRO,2020-08-30T10:11:15Z,4.1,22.8,22.7,19.2,39.8,49.1,34.24,34.72
GUA046,EL MAESTRO,2020-08-30T10:15:15Z,9.6,24.8,23.5,20.4,38,44.7,23.25,23.21
GUA046,EL MAESTRO,2020-08-30T10:19:09Z,4.2,22.6,22.6,19.1,39.8,48,34.16,34.76
GUA046,EL MAESTRO,2020-08-30T10:23:03Z,6.6,24.3,23.4,20.2,37.7,45.4,22.55,23.06
GUA046,EL MAESTRO,2020-08-30T10:27:10Z,5.7,24,22.9,19.5,38.5,45,34,42.3
GUA046,EL MAESTRO,2020-08-30T10:31:15Z,4.6,23.2,23,19.7,37.5,46,35.04,35.18
GUA046,EL MAESTRO,2020-08-30T10:35:20Z,8.1,24.9,23.4,20,38.3,45,36.23,35.89
GUA046,EL MAESTRO,2020-08-30T10:39:25Z,4.3,22.8,22.8,19.4,38.8,48.3,35.02,34.76
GUA046,EL MAESTRO,2020-08-30T10:43:24Z,10.1,24.7,23.5,20.2,37.6,44.2,22.73,22.77
GUA046,EL MAESTRO,2020-08-30T10:47:18Z,4.3,22.9,22.6,19,39.3,45.9,35.04,35.14
GUA046,EL MAESTRO,2020-08-30T10:51:21Z,4.9,23.5,23.1,19.8,37.3,45.8,35.72,36.05
GUA046,EL MAESTRO,2020-08-30T10:55:26Z,7.1,24.8,23.4,19.9,37.6,44.6,34.32,33.65
GUA046,EL MAESTRO,2020-08-30T10:59:26Z,4.1,22.7,22.8,19.2,38.6,47.4,34.57,42.68
GUA046,EL MAESTRO,2020-08-30T11:03:34Z,6.7,24.1,23.4,20,36.8,44.1,22.87,22.76
GUA046,EL MAESTRO,2020-08-30T11:07:36Z,4.3,23,22.6,18.8,38.8,45.7,34.24,34.59
GUA046,EL MAESTRO,2020-08-30T11:11:44Z,5,23.3,23.1,19.7,37.4,46,34.51,34.88
GUA046,EL MAESTRO,2020-08-30T11:15:47Z,8.6,24.8,23.4,19.9,37.4,44.1,35.47,36.04
GUA046,EL MAESTRO,2020-08-30T11:19:45Z,4,22.6,22.7,19.1,37.1,46.2,35.48,35.44
GUA046,EL MAESTRO,2020-08-30T11:23:48Z,10.5,24.5,23.4,20,38.1,45.2,34.91,34.8
GUA046,EL MAESTRO,2020-08-30T11:27:46Z,4.4,22.6,22.7,19.2,37.4,46.3,34.97,43.29
GUA046,EL MAESTRO,2020-08-30T11:31:45Z,9.5,24.6,23.4,19.8,38.2,45.3,23.53,22.78
GUA046,EL MAESTRO,2020-08-30T11:35:47Z,4.5,22.7,22.8,19.2,39.7,47.4,35.39,35.12
GUA046,EL MAESTRO,2020-08-30T11:39:50Z,6.1,23.7,23.4,20,37.3,44.5,22.17,22.3
GUA046,EL MAESTRO,2020-08-30T11:43:44Z,4.2,22.4,22.6,18.9,38.8,46.6,34.93,34.78
GUA046,EL MAESTRO,2020-08-30T11:47:43Z,5.6,23.5,23.3,19.8,37.2,44.3,22.22,22.45
GUA046,EL MAESTRO,2020-08-30T11:51:43Z,4.6,22.6,22.6,18.8,38.8,46.2,35.87,34.9
GUA046,EL MAESTRO,2020-08-30T11:55:46Z,5.3,23.1,23.2,19.6,37.3,45.2,22.41,22.34
GUA046,EL MAESTRO,2020-08-30T11:59:47Z,5,23.1,22.7,19,38,45,35.99,43.33
GUA046,EL MAESTRO,2020-08-30T12:03:43Z,4.8,22.9,23,19.5,37.1,45.6,22.11,30.1
GUA046,EL MAESTRO,2020-08-30T12:07:38Z,5.7,23.3,22.8,19,39.8,46.8,34.76,34.86
GUA046,EL MAESTRO,2020-08-30T12:11:31Z,5.4,23,23.1,19.6,37.5,45.2,22.89,23.15
GUA046,EL MAESTRO,2020-08-30T12:15:35Z,4.8,22.5,22.6,18.7,38.5,45.8,34.85,34.71
GUA046,EL MAESTRO,2020-08-30T12:19:36Z,5.1,22.9,23,19.5,37.1,45.5,22.97,22.96
GUA046,EL MAESTRO,2020-08-30T12:23:35Z,5.4,23.3,22.9,19,40.2,47.4,34.5,34.59
GUA046,EL MAESTRO,2020-08-30T12:27:29Z,5.1,23.1,23.2,19.7,37.5,45.2,22.99,23.55
GUA046,EL MAESTRO,2020-08-30T12:31:33Z,4,22.2,22.5,18.8,41.1,51.9,34.87,42.63
GUA046,EL MAESTRO,2020-08-30T12:35:29Z,9.4,23.8,23.4,20,38.5,45.8,35.44,43.18
GUA046,EL MAESTRO,2020-08-30T12:39:37Z,4.3,22.4,22.7,19,38.7,48.9,35.97,36.62
GUA046,EL MAESTRO,2020-08-30T12:43:42Z,7.9,23.8,23.4,19.8,37,44.6,22.75,22.71
GUA046,EL MAESTRO,2020-08-30T12:47:45Z,3.6,22.1,22.6,18.7,38.3,45.7,35.28,34.85
GUA046,EL MAESTRO,2020-08-30T12:51:49Z,4.5,23,23,19.4,36.3,44.3,23.25,22.46
GUA046,EL MAESTRO,2020-08-30T12:55:42Z,4.1,22.7,22.5,18.7,37.9,45,34.88,34.69
GUA046,EL MAESTRO,2020-08-30T12:59:45Z,4,22.7,22.9,19.3,36.1,44,22.86,22.04
GUA046,EL MAESTRO,2020-08-30T13:03:44Z,3.9,22.5,22.4,18.5,39.1,46.5,34.5,42.95
GUA046,EL MAESTRO,2020-08-30T13:07:48Z,4.5,22.9,22.9,19.4,36.9,45.4,22.57,30.82
GUA046,EL MAESTRO,2020-08-30T13:11:46Z,4.7,23,22.6,18.7,37.8,44.9,34.22,34.15
GUA046,EL MAESTRO,2020-08-30T13:15:56Z,4,22.4,22.7,19.1,36.6,45.5,34.34,34.5
GUA046,EL MAESTRO,2020-08-30T13:19:53Z,7.4,24.2,23.2,19.4,37.5,44.9,34.23,34.24
GUA046,EL MAESTRO,2020-08-30T13:23:48Z,4,22.3,22.7,18.9,36.7,45.7,35.19,35.71
GUA046,EL MAESTRO,2020-08-30T13:28:01Z,6.3,24,23.1,19.3,37.7,45.1,34.12,34.2
GUA046,EL MAESTRO,2020-08-30T13:32:11Z,4.2,22.3,22.7,19,37.1,46.2,34.48,35.08
GUA046,EL MAESTRO,2020-08-30T13:36:14Z,7.6,24.1,23.3,19.4,37.3,44.6,34.31,42.68
GUA046,EL MAESTRO,2020-08-30T13:40:14Z,4.1,22.3,22.8,19,36.6,44.8,21.98,21.74
GUA046,EL MAESTRO,2020-08-30T13:44:24Z,4.8,22.6,22.6,18.6,38.3,45.8,35.76,35.67
GUA046,EL MAESTRO,2020-08-30T13:48:26Z,4.9,22.7,23,19.3,36.9,45.4,34.46,34.74
GUA046,EL MAESTRO,2020-08-30T13:52:29Z,4.2,22,22.6,18.5,38.8,48.5,34.38,35.05
GUA046,EL MAESTRO,2020-08-30T13:56:32Z,6.6,23.3,23.4,19.6,37,44.9,34.22,34.3
GUA046,EL MAESTRO,2020-08-30T14:00:36Z,4.2,22.1,22.7,18.8,36.4,44.8,21.87,21.86
GUA046,EL MAESTRO,2020-08-30T14:04:46Z,4.3,22,22.5,18.2,38,45.9,35.7,34.84
GUA046,EL MAESTRO,2020-08-30T14:08:52Z,4.9,22.6,23,19.1,36.7,45,22.26,22.11
GUA046,EL MAESTRO,2020-08-30T14:12:51Z,4.2,21.9,22.6,18.5,38.5,46.8,35.88,42.2
GUA046,EL MAESTRO,2020-08-30T14:16:52Z,5.2,23,23.2,19.3,36.5,45,34.25,42.25
GUA046,EL MAESTRO,2020-08-30T14:20:51Z,4.1,22,22.7,18.6,35.7,44.7,34.13,34.26
GUA046,EL MAESTRO,2020-08-30T14:24:52Z,3.7,21.7,22.5,18.1,36.6,47.3,34.43,34.84
GUA046,EL MAESTRO,2020-08-30T14:28:57Z,10.9,23.7,23.4,19.4,37.6,45.6,34.06,34.52
GUA046,EL MAESTRO,2020-08-30T14:32:49Z,4.4,22.4,22.9,19,36.1,44.7,34.59,34.81
GUA046,EL MAESTRO,2020-08-30T14:36:51Z,3.9,21.9,22.6,18.4,35.8,45.1,21.88,21.77
GUA046,EL MAESTRO,2020-08-30T14:40:53Z,5,22.9,22.7,18.6,36.7,44.5,34.53,34.99
GUA046,EL MAESTRO,2020-08-30T14:44:59Z,4.2,22.5,23,19.1,35.6,44.1,34.32,34.62
GUA046,EL MAESTRO,2020-08-30T14:49:05Z,3.8,21.8,22.6,18.4,35.4,45.2,35.15,34.71
GUA046,EL MAESTRO,2020-08-30T14:53:08Z,7.5,23.7,23.2,19,35.8,43.9,34.97,42.22
GUA046,EL MAESTRO,2020-08-30T14:57:15Z,3.8,22.1,22.8,18.7,35.2,44.1,34.21,34.76
GUA046,EL MAESTRO,2020-08-30T15:01:16Z,3.6,21.7,22.5,18.2,35.1,44.2,22.37,21.9
